date,db1,db2,diff_db1_db2,id_own,cluster_nr,mean_error
2022-01-03,0.0,0.0,0.0,896,5.0,0
2022-01-04,0.0,0.0,0.0,896,5.0,0
2022-01-05,0.0,0.0,0.0,896,5.0,0
2022-01-06,0.0,0.0,0.0,896,5.0,0
2022-01-07,0.0,0.0,0.0,896,5.0,0
2022-01-08,0.0,0.0,0.0,896,5.0,0
2022-01-09,0.0,0.0,0.0,896,5.0,0
2022-01-10,0.0,0.0,0.0,896,5.0,0
2022-01-11,0.0,0.0,0.0,896,5.0,0
2022-01-12,0.0,0.0,0.0,896,5.0,0
2022-01-13,0.0,0.0,0.0,896,5.0,0
2022-01-14,0.0,0.0,0.0,896,5.0,0
2022-01-15,0.0,0.0,0.0,896,5.0,0
2022-01-16,0.0,0.0,0.0,896,5.0,0
2022-01-17,0.0,0.0,0.0,896,5.0,0
2022-01-18,0.0,0.0,0.0,896,5.0,0
2022-01-19,0.0,0.0,0.0,896,5.0,0
2022-01-20,0.0,0.0,0.0,896,5.0,0
2022-01-21,0.0,0.0,0.0,896,5.0,0
2022-01-22,0.0,0.0,0.0,896,5.0,0
2022-01-23,0.0,0.0,0.0,896,5.0,0
2022-01-24,0.0,0.0,0.0,896,5.0,0
2022-01-25,0.0,0.0,0.0,896,5.0,0
2022-01-26,0.0,0.0,0.0,896,5.0,0
2022-01-28,0.0,0.0,0.0,896,5.0,0
2022-01-29,0.0,0.0,0.0,896,5.0,0
2022-01-30,0.0,0.0,0.0,896,5.0,0
2022-01-31,0.0,0.0,0.0,896,5.0,0
2022-02-01,0.0,0.0,0.0,896,5.0,0
2022-02-02,0.0,0.0,0.0,896,5.0,0
2022-02-03,0.0,0.0,0.0,896,5.0,0
2022-02-04,0.0,0.0,0.0,896,5.0,0
2022-02-05,0.0,0.0,0.0,896,5.0,0
2022-02-06,0.0,0.0,0.0,896,5.0,0
2022-02-07,0.0,0.0,0.0,896,5.0,0
2022-02-08,0.0,0.0,0.0,896,5.0,0
2022-02-09,0.0,0.0,0.0,896,5.0,0
2022-02-10,0.0,0.0,0.0,896,5.0,0
2022-02-11,0.0,0.0,0.0,896,5.0,0
2022-02-12,0.0,0.0,0.0,896,5.0,0
